Level,School Name,Grade,Calendar,Magnet Program,School Membership 2008-09,KI-Kindergarten,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi - Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi - Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2007-08,"NC ABC Results Growth Recognition
 2007-08","NC ABC Results Performance Recognition
 2007-08",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
E,Partnership Elementary,KI-5,MOD,N/A,333,50,61,52,52,55,63,,,,,,,,187,146,1,6,14,116,180,16,0.3%,1.8%,4.2%,34.8%,54.1%,4.8%,72,21.6%,0,0.0%,5,1.5%,NO,63.6,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,20,333,(27),324,0,297,0.0%,112.1%
E,Penny Road Elementary,KI-5,T,N/A,848,145,147,163,130,133,130,,,,,,,,449,399,1,36,93,169,492,57,0.1%,4.2%,11.0%,19.9%,58.0%,6.7%,260,30.7%,56,6.6%,102,12.0%,NO,75.9,High Growth,School of Progress,No,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Cary,CARY,35,848,0,540,9,747,27.7%,113.5%
E,Pleasant Union Elementary,KI-5,Y-R,N/A,636,101,106,114,98,109,108,,,,,,,,345,291,3,10,14,61,526,22,0.5%,1.6%,2.2%,9.6%,82.7%,3.5%,52,8.2%,14,2.2%,24,3.8%,NO,84,High Growth,School of Distinction,No,North Raleigh,Kevin Hill,Northern Area,Ann Hooker,Wake County,WAKE COUNTY,35,636,12,659,0,671,0.0%,94.8%
E,Poe Elementary,KI-5,T,Montessori,361,77,83,54,59,45,43,,,,,,,,170,191,,9,102,116,125,9,0.0%,2.5%,28.3%,32.1%,34.6%,2.5%,163,45.2%,45,12.5%,74,20.5%,YES,57.5,Not Met Exp. Growth,Priority School,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,11,361,(80),9,18,289,100.0%,124.9%
E,Powell Elementary,KI-5,T,Gifted & Talented,428,59,58,83,73,75,80,,,,,,,,203,225,,20,20,248,122,18,0.0%,4.7%,4.7%,57.9%,28.5%,4.2%,224,52.3%,5,1.2%,8,1.9%,YES,70.6,High Growth,School of Progress,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,34,428,(32),431,0,399,0.0%,107.3%
E,Rand Road Elementary,KI-5,Y-R,N/A,692,111,129,126,119,116,91,,,,,,,,335,357,1,7,71,109,463,41,0.1%,1.0%,10.3%,15.8%,66.9%,5.9%,174,25.1%,24,3.5%,29,4.2%,NO,71.7,Expected Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,35,692,0,659,8,843,21.8%,82.1%
E,Reedy Creek Elementary,KI-5,T,N/A,781,150,127,155,118,111,120,,,,,,,,401,380,1,84,116,248,283,49,0.1%,10.8%,14.9%,31.8%,36.2%,6.3%,320,41.0%,100,12.8%,153,19.6%,YES,65.6,Expected Growth,School of Progress,No,Central Raleigh,Beverley Clark,Western Area,Kathy Chontos,Cary,CARY,38,781,(83),609,10,756,30.4%,103.3%
E,River Bend Elementary,KI-5,Y-R,N/A,527,108,99,96,75,70,79,,,,,,,,276,251,,28,200,174,90,35,0.0%,5.3%,38.0%,33.0%,17.1%,6.6%,296,56.2%,98,18.6%,180,34.2%,YES,62.7,High Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,0,527,0,0,32,482,100.0%,109.3%
E,Rolesville Elementary,KI-5,T,N/A,686,132,108,121,113,103,109,,,,,,,,326,360,4,33,96,206,313,34,0.6%,4.8%,14.0%,30.0%,45.6%,5.0%,245,35.7%,19,2.8%,50,7.3%,NO,66.5,Expected Growth,School of Progress,No,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Rolesville,ROLESVILLE,33,686,0,494,9,701,29.5%,97.9%
E,Root Elementary,KI-5,T,N/A,416,50,65,77,84,74,66,,,,,,,,204,212,1,6,24,111,253,21,0.2%,1.4%,5.8%,26.7%,60.8%,5.0%,126,30.3%,16,3.8%,25,6.0%,NO,74.6,High Growth,School of Progress,No,Central Raleigh,Beverley Clark,Central Area,Cathy Moore,Raleigh,RALEIGH,0,416,55,0,26,388,100.0%,107.2%
E,Salem Elementary,KI-5,Y-R,N/A,943,158,154,139,169,164,159,,,,,,,,487,456,6,122,87,31,655,42,0.6%,12.9%,9.2%,3.3%,69.5%,4.5%,112,11.9%,67,7.1%,127,13.5%,NO,86.2,High Growth,School of Distinction,No,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,37,943,60,756,14,1138,28.2%,82.9%
E,Sanford Creek Elementary,KI-5,Y-R,N/A,547,97,109,108,85,66,82,,,,,,,,273,274,1,17,51,108,337,33,0.2%,3.1%,9.3%,19.7%,61.6%,6.0%,131,23.9%,27,4.9%,49,9.0%,NO,68.9,Expected Growth,School of Progress,No,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Rolesville,ROLESVILLE,40,547,31,774,0,805,0.0%,68.0%
E,Smith Elementary,KI-5,T,N/A,496,59,70,99,80,91,97,,,,,,,,267,229,1,4,141,261,61,28,0.2%,0.8%,28.4%,52.6%,12.3%,5.6%,338,68.1%,52,10.5%,89,17.9%,YES,50.1,Expected Growth,Priority School,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,WAKE COUNTY,51,496,(130),800,0,670,0.0%,74.0%
E,Stough Elementary,KI-5,T,N/A,608,115,89,96,120,99,89,,,,,,,,320,288,,38,106,208,212,44,0.0%,6.3%,17.4%,34.2%,34.9%,7.2%,282,46.4%,79,13.0%,111,18.3%,YES,61.6,Expected Growth,School of Progress,No,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,29,608,(9),402,10,623,36.9%,97.6%
E,Swift Creek Elementary,KI-5,T,N/A,617,119,93,108,100,95,102,,,,,,,,317,300,2,28,75,145,343,24,0.3%,4.5%,12.2%,23.5%,55.6%,3.9%,195,31.6%,39,6.3%,63,10.2%,NO,69.6,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,South-Western Area,Julye Mizelle,Wake County,WAKE COUNTY,31,617,19,448,2,513,8.9%,120.3%
E,Sycamore Creek Elementary,KI-5,Y-R,N/A,648,115,125,110,105,96,97,,,,,,,,340,308,,25,59,46,492,26,0.0%,3.9%,9.1%,7.1%,75.9%,4.0%,73,11.3%,45,6.9%,56,8.6%,NO,,,,,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,51,648,0,862,0,862,0.0%,75.2%
E,Timber Drive Elementary,KI-5,Y-R,N/A,906,151,143,133,152,154,173,,,,,,,,457,449,4,11,152,261,440,38,0.4%,1.2%,16.8%,28.8%,48.6%,4.2%,365,40.3%,79,8.7%,130,14.3%,YES,66.8,Expected Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,36,906,(61),682,9,828,25.0%,109.4%
E,Turner Creek Elementary,KI-5,Y-R,N/A,953,167,154,161,165,151,155,,,,,,,,485,468,3,91,57,81,675,46,0.3%,9.5%,6.0%,8.5%,70.8%,4.8%,114,12.0%,41,4.3%,59,6.2%,NO,86,Expected Growth,School of Distinction,No,Southern Wake,Ron Margiotta,Western Area,Kathy Chontos,Cary,CARY,38,953,26,728,8,938,19.6%,101.6%
E,Underwood Elementary,KI-5,T,Gifted & Talented,487,71,85,77,78,92,84,,,,,,,,223,264,3,37,27,112,280,28,0.6%,7.6%,5.5%,23.0%,57.5%,5.7%,118,24.2%,20,4.1%,29,6.0%,NO,67.5,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,33,487,17,458,0,475,0.0%,102.5%
E,Vance Elementary,KI-5,Y-R,N/A,562,109,111,79,106,92,65,,,,,,,,293,269,2,7,59,77,387,30,0.4%,1.2%,10.5%,13.7%,68.9%,5.3%,139,24.7%,31,5.5%,58,10.3%,NO,71.3,Expected Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Wake County,WAKE COUNTY,28,562,0,498,6,636,21.6%,88.4%
E,Vandora Springs Elementary,KI-5,T,N/A,495,65,89,100,73,79,89,,,,,,,,243,252,2,6,88,186,185,28,0.4%,1.2%,17.8%,37.6%,37.4%,5.7%,231,46.7%,39,7.9%,73,14.7%,YES,68.8,High Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,34,495,(52),517,5,580,19.8%,85.3%
E,Wake Forest Elementary,KI-5,T,N/A,783,128,116,131,151,122,135,,,,,,,,390,393,2,17,58,177,482,47,0.3%,2.2%,7.4%,22.6%,61.6%,6.0%,285,36.4%,25,3.2%,45,5.7%,NO,70.8,High Growth,School of Progress,No,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Wake Forest,WAKE FOREST,42,783,35,615,0,650,0.0%,120.5%
E,Wakefield Elementary,KI-5,Y-R,N/A,870,154,131,146,134,152,153,,,,,,,,431,439,4,71,135,149,463,48,0.5%,8.2%,15.5%,17.1%,53.2%,5.5%,206,23.7%,116,13.3%,142,16.3%,NO,71.9,High Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,36,870,37,733,15,1115,30.9%,78.0%
E,Wakelon Elementary ,KI-5,T,N/A,666,117,100,118,108,119,104,,,,,,,,326,340,4,4,137,296,186,39,0.6%,0.6%,20.6%,44.4%,27.9%,5.9%,444,66.7%,57,8.6%,80,12.0%,YES,50,Not Met Exp. Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Zebulon,ZEBULON,46,666,10,685,0,695,0.0%,95.8%
E,Washington Elementary,KI-5,T,Gifted & Talented,588,102,90,97,98,100,101,,,,,,,,284,304,2,99,66,188,212,21,0.3%,16.8%,11.2%,32.0%,36.1%,3.6%,217,36.9%,25,4.3%,43,7.3%,NO,77.5,Expected Growth,School of Progress,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,39,588,(14),546,0,532,0.0%,110.5%
E,Weatherstone Elementary,KI-5,T,N/A,917,134,145,151,171,164,152,,,,,,,,453,464,1,101,132,157,475,51,0.1%,11.0%,14.4%,17.1%,51.8%,5.6%,277,30.2%,127,13.8%,169,18.4%,NO,81.7,High Growth,School of Distinction,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,36,917,(4),563,13,858,34.8%,106.9%
E,Wendell Elementary,KI-5,T,Gifted & Talented,512,77,98,75,92,89,81,,,,,,,,265,247,4,4,101,168,210,25,0.8%,0.8%,19.7%,32.8%,41.0%,4.9%,254,49.6%,34,6.6%,53,10.4%,YES,58.1,High Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Wendell,WENDELL,35,512,(29),481,2,498,9.2%,102.8%
E,West Lake Elementary,KI-5,Y-R,N/A,977,154,164,173,157,145,184,,,,,,,,514,463,1,18,185,78,657,38,0.1%,1.8%,18.9%,8.0%,67.2%,3.9%,229,23.4%,98,10.0%,163,16.7%,NO,77.3,High Growth,School of Progress,No,Southeast Wake,Horace Tart,South-Western Area,Julye Mizelle,Cary,CARY,35,977,(8),659,14,973,33.0%,100.4%
E,Wilburn Elementary,KI-5,Y-R,N/A,611,88,123,97,108,102,93,,,,,,,,303,308,1,41,131,287,115,36,0.2%,6.7%,21.4%,47.0%,18.8%,5.9%,353,57.8%,47,7.7%,98,16.0%,YES,63.9,High Growth,School of Progress,Yes,East Raleigh,Rosa Gill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,32,611,58,590,13,947,31.5%,64.5%
E,Wildwood Forest Elementary,KI-5,T,N/A,935,156,152,145,150,161,171,,,,,,,,454,481,2,59,83,408,319,64,0.2%,6.3%,8.9%,43.6%,34.1%,6.8%,337,36.0%,29,3.1%,78,8.3%,NO,66.7,High Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,36,935,(20),563,16,911,40.3%,102.6%
E,Wiley Elementary,KI-5,T,International Studies,440,85,78,80,72,64,61,,,,,,,,222,218,,24,28,122,234,32,0.0%,5.5%,6.4%,27.7%,53.2%,7.3%,104,23.6%,9,2.0%,25,5.7%,NO,75.3,High Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,30,440,0,403,0,403,0.0%,109.2%
E,Willow Springs Elementary,KI-5,Y-R,N/A,997,172,167,176,165,163,154,,,,,,,,488,509,3,10,150,72,706,56,0.3%,1.0%,15.0%,7.2%,70.8%,5.6%,264,26.5%,40,4.0%,96,9.6%,NO,80.7,High Growth,School of Distinction,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Wake County,WAKE COUNTY,32,997,79,641,16,1088,33.8%,91.6%
E,Yates Mill Elementary,KI-5,T,N/A,516,72,86,98,98,76,86,,,,,,,,257,259,3,11,104,77,306,15,0.6%,2.1%,20.2%,14.9%,59.3%,2.9%,178,34.5%,44,8.5%,92,17.8%,YES,70.6,High Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,South-Western Area,Julye Mizelle,Wake County,WAKE COUNTY,37,516,(32),586,0,554,0.0%,93.1%
E,York Elementary,KI-5,T,N/A,419,80,80,70,70,62,57,,,,,,,,214,205,1,4,82,128,175,29,0.2%,1.0%,19.6%,30.5%,41.8%,6.9%,198,47.3%,36,8.6%,64,15.3%,YES,66.9,High Growth,School of Progress,No,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,33,419,(20),494,4,566,16.2%,74.0%
E,Zebulon Elementary,KI-5,T,Gifted & Talented,526,90,83,75,87,90,101,,,,,,,,271,255,1,3,111,154,236,21,0.2%,0.6%,21.1%,29.3%,44.9%,4.0%,301,57.2%,26,4.9%,60,11.4%,YES,64.9,High Growth,School of Progress,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Zebulon,ZEBULON,40,526,(73),569,10,726,31.6%,72.5%
M,Apex Middle ,.6-8,T,N/A,1017,,,,,,,302,315,400,,,,,520,497,2,37,98,112,713,55,0.2%,3.6%,9.6%,11.0%,70.1%,5.4%,179,17.6%,23,2.3%,62,6.1%,NO,84.2,High Growth,School of Distinction,No,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,60,1017,59,981,0,1040,0.0%,97.8%
M,Carnage Middle,.6-8,T,Gifted & Talented (AG Basics),1094,,,,,,,408,341,345,,,,,569,525,2,76,164,577,221,54,0.2%,6.9%,15.0%,52.7%,20.2%,4.9%,492,45.0%,42,3.8%,98,9.0%,NO,67.6,High Growth,School of Progress,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,60,1094,0,877,7,1059,17.1%,103.3%
M,Carroll Middle,.6-8,T,N/A,784,,,,,,,261,262,261,,,,,421,363,1,35,136,271,292,49,0.1%,4.5%,17.3%,34.6%,37.2%,6.3%,343,43.8%,56,7.1%,99,12.6%,NO,60.8,Expected Growth,School of Progress,No,Central Raleigh,Beverley Clark,Northern Area,Ann Hooker,Raleigh,RALEIGH,54,784,43,825,0,868,0.0%,90.3%
M,Centennial Campus Middle,.6-8,MOD,University Connections and Leadership,593,,,,,,,201,190,202,,,,,294,299,1,13,74,182,303,20,0.2%,2.2%,12.5%,30.7%,51.1%,3.4%,178,30.0%,29,4.9%,53,8.9%,NO,73.3,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,42,593,(26),624,0,598,0.0%,99.2%
M,Daniels Middle,.6-8,T,IB Middle Years Programme,1248,,,,,,,439,419,390,,,,,635,613,6,54,141,294,719,34,0.5%,4.3%,11.3%,23.6%,57.6%,2.7%,342,27.4%,52,4.2%,108,8.7%,NO,72.1,High Growth,School of Progress,No,Central Raleigh,Beverley Clark,Central Area,Cathy Moore,Raleigh,RALEIGH,64,1248,(79),1033,6,1110,14.0%,112.4%
M,Davis Drive Middle,.6-8,T,N/A,1205,,,,,,,362,451,392,,,,,596,609,1,272,65,98,729,40,0.1%,22.6%,5.4%,8.1%,60.5%,3.3%,120,10.0%,38,3.2%,73,6.1%,NO,88.3,High Growth,School of Distinction,No,Southern Wake,Ron Margiotta,Western Area,Kathy Chontos,Cary,CARY,56,1205,51,877,10,1188,21.8%,101.4%
M,Dillard Drive Middle,.6-8,T,N/A,1169,,,,,,,372,414,383,,,,,607,562,2,49,166,345,552,55,0.2%,4.2%,14.2%,29.5%,47.2%,4.7%,469,40.1%,68,5.8%,127,10.9%,NO,71.2,High Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,South-Western Area,Julye Mizelle,Raleigh,RALEIGH,62,1169,(53),1033,6,1136,13.7%,102.9%
M,Durant Road Middle,.6-8,Y-R,N/A,1093,,,,,,,378,381,334,,,,,567,526,1,43,116,259,634,40,0.1%,3.9%,10.6%,23.7%,58.0%,3.7%,258,23.6%,36,3.3%,78,7.1%,NO,74,High Growth,School of Progress,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,62,1093,(99),1345,11,1532,18.6%,71.3%
M,East Cary Middle,.6-7,Y-R,N/A,442,,,,,,,242,200,,,,,,237,205,,55,60,54,240,33,0.0%,12.4%,13.6%,12.2%,54.3%,7.5%,99,22.4%,16,3.6%,52,11.8%,NO,77.9,High Growth,School of Progress,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,60,442,0,1034,0,1034,0.0%,42.7%
M,East Garner Middle,.6-8,T,IB Middle Years Programme,1116,,,,,,,362,385,369,,,,,578,538,2,5,204,594,262,49,0.2%,0.4%,18.3%,53.2%,23.5%,4.4%,563,50.4%,62,5.6%,121,10.8%,NO,54.4,Not Met Exp. Growth,Priority School,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,57,1116,(36),851,5,945,13.7%,118.1%
M,East Millbrook Middle,.6-8,T,Creative Arts & Science/IB MYP,1128,,,,,,,388,368,372,,,,,556,572,1,44,160,611,264,48,0.1%,3.9%,14.2%,54.2%,23.4%,4.3%,494,43.8%,43,3.8%,93,8.2%,NO,57.7,Not Met Exp. Growth,Priority School,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,63,1128,16,981,8,1205,17.2%,93.6%
M,East Wake Middle,.6-8,Y-R,N/A,1035,,,,,,,359,310,366,,,,,552,483,3,20,231,412,316,53,0.3%,1.9%,22.3%,39.8%,30.5%,5.1%,513,49.6%,43,4.2%,139,13.4%,NO,61.8,Expected Growth,School of Progress,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,54,1035,(116),1137,12,1333,23.4%,77.6%
M,Fuquay Varina Middle ,.6-8,T,N/A,938,,,,,,,313,311,314,,,,,495,443,5,13,144,176,553,47,0.5%,1.4%,15.4%,18.8%,59.0%,5.0%,322,34.3%,20,2.1%,54,5.8%,NO,67.6,Expected Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,57,938,25,903,0,928,0.0%,101.1%
M,Heritage Middle,.6-8,Y-R,N/A,1288,,,,,,,444,398,446,,,,,650,638,5,24,69,305,828,57,0.4%,1.9%,5.4%,23.7%,64.3%,4.4%,258,20.0%,13,1.0%,40,3.1%,NO,79.8,High Growth,School of Progress,No,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Wake Forest,WAKE FOREST,60,1288,(108),1293,0,1185,0.0%,108.7%
M,Holly Ridge Middle,.6-8,T,N/A,1241,,,,,,,384,410,447,,,,,636,605,8,29,125,241,776,62,0.6%,2.3%,10.1%,19.4%,62.5%,5.0%,316,25.5%,13,1.0%,69,5.6%,NO,70.2,Expected Growth,School of Progress,No,Southern Wake,Ron Margiotta,Southern Area,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,57,1241,(36),903,14,1231,29.5%,100.8%
M,Leesville Road Middle,.6-8,T,N/A,1281,,,,,,,391,449,441,,,,,662,619,2,76,107,351,677,68,0.2%,5.9%,8.4%,27.4%,52.8%,5.3%,325,25.4%,28,2.2%,63,4.9%,NO,74.7,Expected Growth,School of Progress,No,West Raleigh/Morrisville,Patti Head,Northern Area,Ann Hooker,Raleigh,RALEIGH,53,1281,(10),799,16,1205,34.5%,106.3%
M,Ligon Middle,.6-8,T,Gifted & Talented (AG Basics),1095,,,,,,,369,357,369,,,,,530,565,1,193,52,371,426,52,0.1%,17.6%,4.7%,33.9%,38.9%,4.7%,303,27.7%,19,1.7%,49,4.5%,NO,79.1,High Growth,School of Progress,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,66,1095,(1),1033,3,1110,7.0%,98.6%
M,Lufkin Road Middle,.6-8,Y-R,N/A,1141,,,,,,,421,345,375,,,,,591,550,4,62,54,117,857,47,0.4%,5.4%,4.7%,10.3%,75.1%,4.1%,104,9.1%,19,1.7%,41,3.6%,NO,86.1,High Growth,School of Distinction,No,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,57,1141,33,1215,0,1248,0.0%,91.4%
M,Martin Middle,.6-8,T,Gifted & Talented,1038,,,,,,,351,342,345,,,,,493,545,,106,34,239,630,29,0.0%,10.2%,3.3%,23.0%,60.7%,2.8%,250,24.1%,22,2.1%,39,3.8%,NO,79.8,High Growth,School of Progress,No,Central Raleigh,Beverley Clark,Central Area,Cathy Moore,Raleigh,RALEIGH,64,1038,0,896,0,896,0.0%,115.8%
M,Moore Square Middle,.6-8,MOD,Museums,477,,,,,,,164,137,176,,,,,250,227,3,3,17,264,173,17,0.6%,0.6%,3.6%,55.3%,36.3%,3.6%,185,38.8%,2,0.4%,10,2.1%,NO,58.2,Not Met Exp. Growth,Priority School,No,East Raleigh,Rosa Gill,Central Area,Cathy Moore,Raleigh,RALEIGH,37,477,(53),651,0,598,0.0%,79.8%
M,North Garner Middle,.6-8,Y-R,N/A,1130,,,,,,,411,383,336,,,,,581,549,5,8,144,436,490,47,0.4%,0.7%,12.7%,38.6%,43.4%,4.2%,445,39.4%,42,3.7%,96,8.5%,NO,60,High Growth,School of Progress,No,Southeast Wake,Horace Tart,Southern Area,Lloyd Gardner,Garner,GARNER,56,1130,(40),1189,5,1279,10.1%,88.4%
M,Reedy Creek Middle,.6-8,T,N/A,831,,,,,,,281,280,270,,,,,435,396,3,69,143,198,358,60,0.4%,8.3%,17.2%,23.8%,43.1%,7.2%,340,40.9%,44,5.3%,112,13.5%,NO,70.7,High Growth,School of Progress,No,Central Raleigh,Beverley Clark,Western Area,Kathy Chontos,Cary,CARY,57,831,(1),903,0,902,0.0%,92.1%
M,Salem Middle,.6-8,Y-R,N/A,1232,,,,,,,461,368,403,,,,,644,588,4,153,31,79,919,46,0.3%,12.4%,2.5%,6.4%,74.6%,3.7%,65,5.3%,7,0.6%,33,2.7%,NO,92.3,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,57,1232,2,1215,2,1269,4.0%,97.1%
M,Wake Forest-Rolesville Middle,.6-8,T,N/A,1140,,,,,,,403,344,393,,,,,580,560,3,41,137,337,569,53,0.3%,3.6%,12.0%,29.6%,49.9%,4.6%,382,33.5%,20,1.8%,80,7.0%,NO,69,High Growth,School of Progress,No,Northeast Wake,Lori Millberg,North-Eastern Area,Andre Smith,Wake Forest,WAKE FOREST,55,1140,0,851,11,1137,25.1%,100.3%
M,Wakefield Middle,.6-8,T,N/A,1322,,,,,,,401,461,460,,,,,714,608,3,61,98,242,875,43,0.2%,4.6%,7.4%,18.3%,66.2%,3.3%,211,16.0%,11,0.8%,69,5.2%,NO,80.2,High Growth,School of Distinction,No,North Raleigh,Kevin Hill,North-Eastern Area,Andre Smith,Raleigh,RALEIGH,57,1322,68,903,13,1309,25.8%,101.0%
M,Wendell Middle,.6-7,T,N/A,419,,,,,,,204,215,,,,,,196,223,1,5,84,157,155,17,0.2%,1.2%,20.0%,37.5%,37.0%,4.1%,215,51.3%,13,3.1%,44,10.5%,NO,65.9,Expected Growth,School of Progress,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,WAKE COUNTY,WAKE COUNTY,0,419,(52),0,30,416,100.0%,100.7%
M,West Cary Middle,.6-8,T,N/A,1139,,,,,,,375,347,417,,,,,593,546,5,195,80,265,537,57,0.4%,17.1%,7.0%,23.3%,47.1%,5.0%,259,22.7%,34,3.0%,104,9.1%,NO,79.6,High Growth,School of Progress,No,Western Wake,Eleanor Goettee,Western Area,Kathy Chontos,Cary,CARY,56,1139,71,877,6,1104,14.1%,103.2%
M,West Lake Middle,.6-8,Y-R,N/A,1420,,,,,,,491,478,451,,,,,727,693,4,31,141,226,965,53,0.3%,2.2%,9.9%,15.9%,68.0%,3.7%,280,19.7%,40,2.8%,97,6.8%,NO,82.2,High Growth,School of Distinction,No,Southeast Wake,Horace Tart,South-Western Area,Julye Mizelle,Cary,CARY,56,1420,(58),1189,12,1443,21.6%,98.4%
M,West Millbrook Middle,.6-8,T,N/A,905,,,,,,,305,277,323,,,,,458,447,5,28,121,323,396,32,0.6%,3.1%,13.4%,35.7%,43.8%,3.5%,377,41.7%,53,5.9%,111,12.3%,NO,63.7,Expected Growth,School of Progress,No,North Raleigh,Kevin Hill,Northern Area,Ann Hooker,Raleigh,RALEIGH,59,905,(19),955,8,1144,18.1%,79.1%
M,Zebulon Middle,.6-8,T,Gifted & Talented,852,,,,,,,251,234,367,,,,,432,420,1,10,133,348,323,37,0.1%,1.2%,15.6%,40.8%,37.9%,4.3%,418,49.1%,20,2.3%,65,7.6%,NO,58.4,High Growth,Priority School,No,Northeast Wake,Lori Millberg,Eastern Area,Danny Barnes,Zebulon,ZEBULON,58,852,49,740,8,997,20.8%,85.5%
S,Apex High,.9-12,T,N/A,2201,,,,,,,,,,629,580,506,486,1129,1072,5,88,124,194,1728,62,0.2%,4.0%,5.6%,8.8%,78.5%,2.8%,175,8.0%,38,1.7%,73,3.3%,NO,88.7,High Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,South-Western Area,Julye Mizelle,Apex,APEX,82,2201,(12),1639,20,2107,22.7%,104.5%
S,Athens Drive High ,.9-12,T,N/A,1824,,,,,,,,,,536,497,387,404,963,861,8,117,172,496,984,47,0.4%,6.4%,9.4%,27.2%,53.9%,2.6%,478,26.2%,108,5.9%,157,8.6%,NO,80.3,Not Met Exp. Growth,No Recognition,No,South Central Raleigh,Anne McLaurin,Central Area,Cathy Moore,Raleigh,RALEIGH,86,1824,(99),1735,15,1996,18.0%,91.4%
