Code,Level,School Name,Calendar,Magnet Program,School Membership 2009-10,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,MALE,FEMALE,American Indian,Asian,Hispanic or Latino,Black or African American,White,Multi-Racial,Percent American Indian,Percent Asian,Percent Hispanic or Latino,Percent Black or African American,Percent White,Percent Multi-Racial,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2008-09,"NC ABC Results Growth Recognition
 2008-09","NC ABC Results Performance Recognition
 2008-09",AYP Status,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location in Municipal Corporate Limits ,"Number Perma-
nent Learning Spaces","20th Day Actual Member-
ship","Special Needs Program Adjust-
ment",Existing School Building Capacity,Existing Mobiles,Annual School Campus Capacity [ASCC],Percent in Mobile Units,Percent Crowding Using Existing Mobiles
520,E,Northwoods Elementary,T,N/A,537,92,103,90,84,74,94,,,,,,,,268,269,4,62,77,127,227,40,0.7%,11.5%,14.3%,23.6%,42.3%,7.4%,178,33.0%,67,12.5%,86,16.0%,NO,80.6%,High Growth,School of Distinction,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,34,537,5,517,3,591,11.6%,90.9%
522,E,Oak Grove Elementary,Y-R,N/A,845,112,118,149,152,152,162,,,,,,,,425,420,3,52,63,85,617,25,0.4%,6.2%,7.5%,10.1%,73.0%,3.0%,132,15.4%,24,2.8%,50,5.9%,NO,88.3%,High Growth,School of Distinction,No,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Cary,CARY,35,845,24,659,5,798,14.4%,105.9%
524,E,Olds Elementary,T,N/A,314,38,60,48,50,62,56,,,,,,,,162,152,,8,12,83,197,14,0.0%,2.5%,3.8%,26.4%,62.7%,4.5%,80,25.6%,10,3.2%,12,3.8%,NO,81.8%,Expected Growth,School of Distinction,Yes,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,18,314,(55),323,0,268,0.0%,117.2%
523,E,Olive Chapel Elementary,Y-R,N/A,1028,160,197,194,182,156,139,,,,,,,,532,496,2,53,60,98,772,43,0.2%,5.2%,5.8%,9.5%,75.1%,4.2%,149,14.4%,37,3.6%,52,5.1%,NO,88.5%,Expected Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,36,1028,51,733,14,1106,29.1%,92.9%
525,E,Partnership Elementary,MOD,N/A,324,42,53,56,61,57,55,,,,,,,,174,150,1,7,28,100,169,19,0.3%,2.2%,8.6%,30.9%,52.2%,5.9%,71,21.8%,20,6.2%,24,7.4%,NO,75.2%,High Growth,School of Progress,Yes,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,20,324,(27),324,0,297,0.0%,109.1%
530,E,Penny Road Elementary,T,N/A,633,89,115,100,120,107,102,,,,,,,,336,297,2,23,71,104,403,30,0.3%,3.6%,11.2%,16.4%,63.7%,4.7%,159,25.0%,41,6.5%,63,10.0%,NO,75.4%,High Growth,School of Progress,No,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Cary,CARY,35,633,0,540,9,747,27.7%,84.7%
531,E,Pleasant Union Elementary,Y-R,N/A,667,110,116,114,111,105,111,,,,,,,,353,314,2,12,14,72,530,37,0.3%,1.8%,2.1%,10.8%,79.5%,5.5%,73,10.7%,13,1.9%,22,3.3%,NO,87.9%,Expected Growth,School of Distinction,Yes,North Raleigh,Kevin Hill,Northern Wake County,Ann Hooker,Wake County,WAKE COUNTY,35,667,12,659,0,671,0.0%,99.4%
532,E,Poe Elementary,T,Montessori,342,72,72,66,46,45,41,,,,,,,,167,175,1,8,85,122,116,10,0.3%,2.3%,24.9%,35.7%,33.9%,2.9%,165,48.1%,32,9.4%,51,14.9%,YES,59.2%,Expected Growth,Priority School,No,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,29,342,(9),369,0,360,0.0%,95.0%
536,E,Powell Elementary,T,Gifted & Talented,422,53,61,63,85,81,79,,,,,,,,204,218,,14,15,243,126,24,0.0%,3.3%,3.6%,57.6%,29.9%,5.7%,229,53.9%,2,0.5%,7,1.7%,YES,74.7%,High Growth,School of Progress,Yes,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,34,422,(32),431,0,399,0.0%,105.8%
540,E,Rand Road Elementary,Y-R,N/A,608,83,98,103,108,110,106,,,,,,,,306,302,3,5,55,105,404,36,0.5%,0.8%,9.0%,17.3%,66.4%,5.9%,168,27.4%,20,3.3%,27,4.4%,NO,76.4%,Expected Growth,School of Progress,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,35,608,0,659,6,797,17.3%,76.3%
542,E,Reedy Creek Elementary,T,N/A,653,102,122,121,109,102,97,,,,,,,,332,321,,88,95,173,247,50,0.0%,13.5%,14.5%,26.5%,37.8%,7.7%,249,38.9%,62,9.5%,119,18.2%,YES,67.9%,Expected Growth,School of Progress,No,Central Raleigh,Carolyn Morrison,Western Wake County,Kathryn Chontos,Cary,CARY,38,653,(46),609,9,770,26.8%,84.8%
302,E,River Bend Elementary,Y-R,N/A,596,111,111,103,105,89,77,,,,,,,,300,296,,36,211,197,108,44,0.0%,6.0%,35.4%,33.1%,18.1%,7.4%,361,57.1%,72,12.1%,189,31.7%,YES,70.5%,High Growth,School of Progress,Yes,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,51,596,(22),1078,0,1056,0.0%,56.4%
544,E,Rolesville Elementary,T,N/A,615,108,110,97,105,107,88,,,,,,,,307,308,2,30,72,168,309,34,0.3%,4.9%,11.7%,27.3%,50.2%,5.5%,221,35.8%,22,3.6%,49,8.0%,NO,70.9%,High Growth,School of Progress,Yes,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Rolesville,ROLESVILLE,33,615,0,494,9,701,29.5%,87.7%
548,E,Root Elementary,T,N/A,476,68,70,76,88,92,82,,,,,,,,233,243,1,3,44,139,267,22,0.2%,0.6%,9.2%,29.2%,56.1%,4.6%,179,37.4%,27,5.7%,34,7.1%,NO,78.0%,High Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,33,476,60,494,0,554,0.0%,85.9%
550,E,Salem Elementary,Y-R,N/A,948,144,160,161,137,178,168,,,,,,,,499,449,4,127,95,52,625,45,0.4%,13.4%,10.0%,5.5%,65.9%,4.7%,152,15.9%,76,8.0%,97,10.2%,NO,89.0%,High Growth,School of Distinction,Yes,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,37,948,14,756,14,1092,29.4%,86.8%
554,E,Sanford Creek Elementary,Y-R,N/A,611,104,96,123,116,92,80,,,,,,,,303,308,1,23,59,123,363,42,0.2%,3.8%,9.7%,20.1%,59.4%,6.9%,154,25.0%,32,5.2%,48,7.9%,NO,74.8%,Expected Growth,School of Progress,Yes,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Rolesville,ROLESVILLE,40,611,17,774,0,791,0.0%,77.2%
560,E,Smith Elementary,T,International Baccalaureate,465,72,66,72,88,74,93,,,,,,,,227,238,,5,116,249,66,29,0.0%,1.1%,24.9%,53.5%,14.2%,6.2%,311,66.7%,32,6.9%,85,18.3%,YES,53.8%,Expected Growth,Priority School,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,WAKE COUNTY,51,465,(96),777,0,681,0.0%,68.3%
564,E,Stough Elementary,T,N/A,529,79,115,76,87,97,75,,,,,,,,276,253,,29,107,158,199,36,0.0%,5.5%,20.2%,29.9%,37.6%,6.8%,240,44.9%,66,12.5%,92,17.4%,YES,72.2%,High Growth,School of Progress,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,29,529,(9),402,10,623,36.9%,84.9%
568,E,Swift Creek Elementary,T,N/A,486,68,94,66,83,87,88,,,,,,,,271,215,,34,51,77,301,23,0.0%,7.0%,10.5%,15.8%,61.9%,4.7%,132,27.1%,14,2.9%,46,9.5%,NO,75.1%,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,SouthWestern Wake County,Julye Mizelle,Wake County,WAKE COUNTY,31,486,23,448,2,517,8.8%,94.0%
569,E,Sycamore Creek Elementary,Y-R,N/A,712,122,123,127,128,108,104,,,,,,,,356,356,,45,61,68,512,26,0.0%,6.3%,8.6%,9.6%,71.9%,3.7%,91,12.7%,57,8.0%,64,9.0%,NO,87.9%,High Growth,School of Distinction,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,51,712,0,1078,0,1078,0.0%,66.0%
570,E,Timber Drive Elementary,Y-R,N/A,840,125,141,150,135,146,143,,,,,,,,416,424,2,12,152,281,360,33,0.2%,1.4%,18.1%,33.5%,42.9%,3.9%,394,47.4%,74,8.8%,120,14.3%,YES,66.5%,Not Met Expected Growth,No Recognition,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,36,840,(61),682,9,828,25.0%,101.4%
571,E,Turner Creek Elementary,Y-R,N/A,924,123,163,155,162,169,152,,,,,,,,468,456,2,102,55,94,637,34,0.2%,11.0%,6.0%,10.2%,68.9%,3.7%,143,15.3%,36,3.9%,66,7.1%,NO,91.2%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,Western Wake County,Kathryn Chontos,Cary,CARY,38,924,63,779,7,1003,16.0%,92.1%
572,E,Underwood Elementary,T,Gifted & Talented,524,77,77,97,75,88,110,,,,,,,,253,271,3,25,55,106,304,31,0.6%,4.8%,10.5%,20.2%,58.0%,5.9%,159,30.2%,27,5.2%,56,10.7%,NO,75.3%,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,33,524,17,458,0,475,0.0%,110.3%
576,E,Vance Elementary,Y-R,N/A,613,101,106,115,85,105,101,,,,,,,,315,298,1,8,84,92,390,38,0.2%,1.3%,13.7%,15.0%,63.6%,6.2%,195,31.7%,37,6.0%,67,10.9%,NO,79.4%,High Growth,School of Progress,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Wake County,WAKE COUNTY,28,613,3,498,6,639,21.5%,95.9%
580,E,Vandora Springs Elementary,T,N/A,520,74,80,88,115,79,84,,,,,,,,265,255,4,6,79,221,183,27,0.8%,1.2%,15.2%,42.5%,35.2%,5.2%,232,44.7%,36,6.9%,63,12.1%,YES,73.3%,High Growth,School of Progress,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,34,520,(29),517,5,603,19.0%,86.2%
584,E,Wake Forest Elementary,T,N/A,629,93,104,103,107,122,100,,,,,,,,313,316,2,21,44,126,400,36,0.3%,3.3%,7.0%,20.0%,63.6%,5.7%,227,36.2%,14,2.2%,27,4.3%,NO,75.6%,High Growth,School of Progress,Yes,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Wake Forest,WAKE FOREST,40,629,12,638,0,650,0.0%,96.8%
593,E,Wakefield Elementary,Y-R,N/A,831,114,153,126,162,116,160,,,,,,,,428,403,3,62,135,173,413,45,0.4%,7.5%,16.2%,20.8%,49.7%,5.4%,259,30.7%,123,14.8%,150,18.1%,NO,73.9%,Expected Growth,School of Progress,No,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,36,831,37,733,11,1023,24.7%,81.2%
597,E,Wakelon Elementary ,T,N/A,508,64,109,81,91,68,95,,,,,,,,248,260,4,1,108,206,158,31,0.8%,0.2%,21.3%,40.6%,31.1%,6.1%,339,66.0%,32,6.3%,68,13.4%,YES,56.2%,Expected Growth,Priority School,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Zebulon,ZEBULON,46,508,(4),685,0,681,0.0%,74.6%
596,E,Washington Elementary,T,Gifted & Talented,591,96,99,92,97,102,105,,,,,,,,290,301,3,133,56,178,197,24,0.5%,22.5%,9.5%,30.1%,33.3%,4.1%,224,37.5%,34,5.8%,53,9.0%,YES,80.8%,High Growth,School of Distinction,Yes,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,39,591,(14),546,0,532,0.0%,111.1%
598,E,Weatherstone Elementary,T,N/A,846,99,146,126,139,176,160,,,,,,,,415,431,1,96,122,164,424,39,0.1%,11.3%,14.4%,19.4%,50.1%,4.6%,286,33.8%,122,14.4%,141,16.7%,NO,83.6%,High Growth,School of Distinction,No,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,36,846,(18),563,13,844,35.4%,100.2%
600,E,Wendell Elementary,T,Creative Arts & Science,424,51,66,79,71,82,75,,,,,,,,217,207,,6,77,139,181,21,0.0%,1.4%,18.2%,32.8%,42.7%,5.0%,228,52.9%,35,8.3%,49,11.6%,YES,57.6%,Not Met  Expected Growth,Priority School,No,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Wendell,WENDELL,35,424,(29),481,2,498,9.2%,85.1%
606,E,West Lake Elementary,Y-R,N/A,773,117,136,128,133,133,126,,,,,,,,388,385,,21,151,55,508,38,0.0%,2.7%,19.5%,7.1%,65.7%,4.9%,174,22.5%,65,8.4%,111,14.4%,NO,79.6%,Expected Growth,School of Progress,No,Southeast Wake,John Tedesco,SouthWestern Wake County,Julye Mizelle,Cary,CARY,35,773,(8),659,13,950,31.4%,81.4%
616,E,Wilburn Elementary,Y-R,N/A,691,104,104,131,117,118,117,,,,,,,,349,342,,33,124,360,132,42,0.0%,4.8%,17.9%,52.1%,19.1%,6.1%,419,59.3%,43,6.2%,88,12.7%,YES,62.8%,Expected Growth,School of Progress,Yes,East Raleigh,Keith Sutton,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,32,691,58,590,12,924,29.8%,74.8%
618,E,Wildwood Forest Elementary,T,N/A,740,98,136,133,120,117,136,,,,,,,,382,358,1,57,72,294,265,51,0.1%,7.7%,9.7%,39.7%,35.8%,6.9%,277,37.3%,32,4.3%,84,11.4%,YES,76.4%,High Growth,School of Progress,Yes,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,38,740,(32),609,9,784,26.4%,94.4%
620,E,Wiley Elementary,T,International Studies,454,76,97,78,73,71,59,,,,,,,,215,239,,26,34,107,247,40,0.0%,5.7%,7.5%,23.6%,54.4%,8.8%,128,28.2%,12,2.6%,28,6.2%,NO,79.4%,Expected Growth,School of Progress,No,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,30,454,0,403,0,403,0.0%,112.7%
624,E,Willow Springs Elementary,Y-R,N/A,884,143,156,141,141,152,151,,,,,,,,461,423,1,12,105,53,652,61,0.1%,1.4%,11.9%,6.0%,73.8%,6.9%,286,31.5%,31,3.5%,57,6.4%,NO,85.3%,High Growth,School of Distinction,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Wake County,WAKE COUNTY,32,884,79,641,16,1088,33.8%,81.3%
626,E,Yates Mill Elementary,T,N/A,532,87,72,86,96,107,84,,,,,,,,269,263,6,11,109,70,317,19,1.1%,2.1%,20.5%,13.2%,59.6%,3.6%,198,37.4%,46,8.6%,91,17.1%,YES,76.8%,High Growth,School of Progress,Yes,South Central Raleigh,Anne McLaurin,SouthWestern Wake County,Julye Mizelle,Wake County,WAKE COUNTY,37,532,(32),586,0,554,0.0%,96.0%
628,E,York Elementary,T,N/A,380,69,72,66,58,60,55,,,,,,,,186,194,1,2,54,125,170,28,0.3%,0.5%,14.2%,32.9%,44.7%,7.4%,171,44.9%,19,5.0%,43,11.3%,YES,74.6%,High Growth,School of Progress,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,33,380,(20),494,4,566,16.2%,67.1%
632,E,Zebulon Elementary,T,Gifted & Talented,489,73,83,87,83,75,88,,,,,,,,246,243,3,4,121,135,194,32,0.6%,0.8%,24.7%,27.6%,39.7%,6.5%,293,59.6%,49,10.0%,92,18.8%,YES,70.6%,High Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Zebulon,ZEBULON,40,489,(96),569,4,565,16.2%,86.5%
312,M,Apex Middle ,T,N/A,1005,,,,,,,365,319,321,,,,,513,492,3,41,93,110,703,55,0.3%,4.1%,9.3%,10.9%,70.0%,5.5%,191,18.9%,14,1.4%,29,2.9%,NO,90.0%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,63,1005,59,1059,0,1118,0.0%,89.9%
356,M,Carnage Middle,T,Gifted & Talented (AG Basics),1031,,,,,,,418,326,287,,,,,562,469,1,164,118,483,227,38,0.1%,15.9%,11.4%,46.8%,22.0%,3.7%,390,37.9%,25,2.4%,68,6.6%,NO,73.6%,Expected Growth,School of Progress,Yes,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,60,1031,0,877,7,1059,17.1%,97.4%
360,M,Carroll Middle,T,N/A,716,,,,,,,233,240,243,,,,,384,332,3,14,99,270,287,43,0.4%,2.0%,13.8%,37.7%,40.1%,6.0%,355,49.4%,27,3.8%,49,6.8%,NO,64.4%,Expected Growth,School of Progress,No,Central Raleigh,Carolyn Morrison,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,54,716,43,825,0,868,0.0%,82.5%
370,M,Centennial Campus Middle,MOD,University Connections and Leadership,662,,,,,,,212,229,221,,,,,343,319,1,21,110,214,282,34,0.2%,3.2%,16.6%,32.3%,42.6%,5.1%,254,37.6%,22,3.3%,79,11.9%,NO,78.6%,Not Met Expected Growth,No Recognition,No,South Central Raleigh,Anne McLaurin,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,40,662,(26),572,0,546,0.0%,121.2%
388,M,Daniels Middle,T,N/A,1222,,,,,,,367,429,426,,,,,580,642,6,67,102,314,699,34,0.5%,5.5%,8.3%,25.7%,57.2%,2.8%,371,30.2%,41,3.4%,96,7.9%,NO,79.1%,Expected Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,62,1222,(79),1033,6,1110,14.0%,110.1%
391,M,Davis Drive Middle,T,N/A,1184,,,,,,,376,362,446,,,,,589,595,,237,71,114,711,51,0.0%,20.0%,6.0%,9.6%,60.1%,4.3%,167,14.2%,56,4.7%,90,7.6%,NO,92.9%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,Western Wake County,Kathryn Chontos,Cary,CARY,56,1184,51,877,10,1188,21.8%,99.7%
394,M,Dillard Drive Middle,T,N/A,1171,,,,,,,400,371,400,,,,,584,587,4,59,146,307,603,52,0.3%,5.0%,12.5%,26.2%,51.5%,4.4%,482,41.2%,44,3.8%,98,8.4%,NO,76.2%,Expected Growth,School of Progress,Yes,South Central Raleigh,Anne McLaurin,SouthWestern Wake County,Julye Mizelle,Raleigh,RALEIGH,62,1171,(53),1033,6,1136,13.7%,103.1%
399,M,Durant Road Middle,Y-R,N/A,1297,,,,,,,440,445,412,,,,,677,620,6,44,148,360,683,56,0.5%,3.4%,11.4%,27.8%,52.7%,4.3%,368,28.0%,38,2.9%,85,6.6%,NO,82.7%,Expected Growth,School of Distinction,Yes,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,62,1297,(99),1345,11,1532,18.6%,84.7%
402,M,East Cary Middle,Y-R,N/A,842,,,,,,,332,268,242,,,,,447,395,2,100,98,121,465,56,0.2%,11.9%,11.6%,14.4%,55.2%,6.7%,193,22.5%,23,2.7%,77,9.1%,NO,87.6%,High Growth,School of Distinction,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,60,842,0,1293,0,1293,0.0%,65.1%
404,M,East Garner Middle,T,International Baccalaureate,1129,,,,,,,356,381,392,,,,,572,557,2,6,208,587,274,52,0.2%,0.5%,18.4%,52.0%,24.3%,4.6%,578,50.9%,50,4.4%,81,7.2%,NO,64.1%,Expected Growth,School of Progress,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,57,1129,(36),851,5,945,13.7%,119.5%
408,M,East Millbrook Middle,T,International Baccalaureate,1214,,,,,,,405,404,405,,,,,588,626,1,65,182,663,258,45,0.1%,5.4%,15.0%,54.6%,21.3%,3.7%,598,49.1%,63,5.2%,143,11.8%,NO,62.7%,Expected Growth,School of Progress,No,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,63,1214,(18),825,18,1275,36.7%,95.2%
410,M,East Wake Middle,Y-R,N/A,970,,,,,,,326,326,318,,,,,500,470,2,14,229,391,285,49,0.2%,1.4%,23.6%,40.3%,29.4%,5.1%,534,53.9%,45,4.6%,117,12.1%,NO,65.9%,Expected Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,Knightdale,KNIGHTDALE,54,970,(116),1137,12,1333,23.4%,72.8%
424,M,Fuquay-Varina Middle ,T,N/A,983,,,,,,,334,330,319,,,,,511,472,4,10,169,207,542,51,0.4%,1.0%,17.2%,21.1%,55.1%,5.2%,374,38.1%,30,3.1%,70,7.1%,NO,76.4%,Expected Growth,School of Progress,No,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,57,983,25,903,0,928,0.0%,105.9%
444,M,Heritage Middle,Y-R,N/A,1257,,,,,,,426,444,387,,,,,608,649,2,24,55,282,845,49,0.2%,1.9%,4.4%,22.4%,67.2%,3.9%,274,21.6%,12,1.0%,38,3.0%,NO,86.0%,High Growth,School of Distinction,Yes,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Wake Forest,WAKE FOREST,60,1257,(108),1293,0,1185,0.0%,106.1%
450,M,Holly Ridge Middle,T,N/A,1218,,,,,,,407,405,406,,,,,599,619,7,30,127,232,758,64,0.6%,2.5%,10.4%,19.0%,62.2%,5.3%,329,26.9%,17,1.4%,40,3.3%,NO,79.6%,Expected Growth,School of Progress,Yes,Southern Wake,Ron Margiotta,Southern Wake County,Lloyd Gardner,Holly Springs,HOLLY SPRINGS,57,1218,(36),903,14,1231,29.5%,98.9%
471,M,Leesville Road Middle,Y-R,N/A,1252,,,,,,,414,405,433,,,,,658,594,4,87,118,321,655,67,0.3%,6.9%,9.4%,25.6%,52.3%,5.4%,359,27.9%,35,2.8%,72,5.8%,NO,78.0%,Expected Growth,School of Progress,No,West Raleigh/Morrisville,Deborah Prickett,Northern Wake County,Ann Hooker,Raleigh,RALEIGH,53,1252,(36),1111,14,1439,25.2%,87.0%
472,M,Ligon Middle,T,Gifted & Talented (AG Basics),1077,,,,,,,346,358,373,,,,,517,560,1,169,62,372,422,51,0.1%,15.7%,5.8%,34.5%,39.2%,4.7%,350,32.4%,12,1.1%,38,3.5%,NO,80.9%,High Growth,School of Distinction,Yes,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,64,1077,(1),981,3,1058,7.3%,101.8%
484,M,Lufkin Road Middle,Y-R,N/A,1187,,,,,,,436,402,349,,,,,619,568,8,60,52,142,869,56,0.7%,5.1%,4.4%,12.0%,73.2%,4.7%,144,12.3%,9,0.8%,20,1.7%,NO,91.4%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,57,1187,33,1215,0,1248,0.0%,95.1%
492,M,Martin Middle,T,Gifted & Talented,1059,,,,,,,371,359,329,,,,,496,563,1,104,68,249,590,47,0.1%,9.8%,6.4%,23.5%,55.7%,4.4%,308,28.9%,35,3.3%,60,5.7%,NO,84.6%,Expected Growth,School of Distinction,No,Central Raleigh,Carolyn Morrison,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,64,1059,0,896,0,896,0.0%,118.2%
506,M,Moore Square Middle,MOD,Museums,468,,,,,,,169,168,131,,,,,233,235,2,5,47,236,160,18,0.4%,1.1%,10.0%,50.4%,34.2%,3.8%,222,46.7%,12,2.6%,32,6.8%,NO,63.0%,Not Met Expected Growth,No Recognition,No,East Raleigh,Keith Sutton,Central Wake County,Cathy Moore ,Raleigh,RALEIGH,37,468,(53),651,0,598,0.0%,78.3%
512,M,North Garner Middle,Y-R,N/A,1258,,,,,,,420,435,403,,,,,627,631,5,13,177,451,549,63,0.4%,1.0%,14.1%,35.9%,43.6%,5.0%,546,43.1%,51,4.1%,110,8.7%,NO,68.2%,Expected Growth,School of Progress,Yes,Southeast Wake,John Tedesco,Southern Wake County,Lloyd Gardner,Garner,GARNER,56,1258,(40),1189,5,1279,10.1%,98.4%
400,M,Reedy Creek Middle,T,N/A,819,,,,,,,295,263,261,,,,,422,397,3,58,116,194,387,61,0.4%,7.1%,14.2%,23.7%,47.3%,7.4%,335,40.8%,38,4.6%,103,12.6%,NO,77.6%,High Growth,School of Progress,Yes,Central Raleigh,Carolyn Morrison,Western Wake County,Kathryn Chontos,Cary,CARY,57,819,(1),903,0,902,0.0%,90.8%
551,M,Salem Middle,Y-R,N/A,1319,,,,,,,445,478,396,,,,,698,621,4,176,44,89,938,68,0.3%,13.3%,3.3%,6.7%,71.1%,5.2%,113,8.4%,14,1.1%,25,1.9%,NO,94.8%,High Growth,Honor Schools of Excellence,Yes,Southern Wake,Ron Margiotta,SouthWestern Wake County,Julye Mizelle,Apex,APEX,57,1319,2,1215,2,1269,4.0%,103.9%
592,M,Wake Forest-Rolesville Middle,T,N/A,1155,,,,,,,377,420,358,,,,,605,550,5,42,136,350,559,63,0.4%,3.6%,11.8%,30.3%,48.4%,5.5%,439,38.0%,20,1.7%,84,7.3%,NO,76.7%,High Growth,School of Progress,No,Northeast Wake,Chris Malone,NorthEastern Wake County,Andre Smith,Wake Forest,WAKE FOREST,55,1155,0,851,10,1111,23.4%,104.0%
594,M,Wakefield Middle,T,N/A,1191,,,,,,,367,390,434,,,,,611,580,4,67,94,218,775,33,0.3%,5.6%,7.9%,18.3%,65.1%,2.8%,222,18.6%,11,0.9%,61,5.1%,NO,85.2%,High Growth,School of Distinction,Yes,North Raleigh,Kevin Hill,NorthEastern Wake County,Andre Smith,Raleigh,RALEIGH,57,1191,68,903,13,1309,25.8%,91.0%
601,M,Wendell Middle,T,N/A,856,,,,,,,310,278,268,,,,,420,436,2,14,165,328,306,41,0.2%,1.6%,19.3%,38.3%,35.7%,4.8%,450,52.5%,16,1.9%,59,6.9%,NO,75.0%,Expected Growth,School of Progress,Yes,Northeast Wake,Chris Malone,Eastern Wake County,Danny Barnes,WAKE COUNTY,WAKE COUNTY,60,856,0,981,0,981,0.0%,87.3%
604,M,West Cary Middle,T,N/A,1049,,,,,,,339,374,336,,,,,531,518,4,187,84,226,495,53,0.4%,17.8%,8.0%,21.5%,47.2%,5.1%,271,25.8%,16,1.5%,51,4.9%,NO,84.6%,High Growth,School of Distinction,Yes,Western Wake,Debra Goldman,Western Wake County,Kathryn Chontos,Cary,CARY,56,1049,71,877,6,1104,14.1%,95.0%
