CODE	SCHOOL NAME	CALENDAR	PROGRAM MODEL NAME	GRADE	LEVEL	TYPE	SCHOOL ENROLL 2006-07	KI	1st GRADE	2nd GRADE	3rd GRADE	4th GRADE	5th GRADE	6th GRADE	7th GRADE	8th GRADE	9th GRADE	10th GRADE	11th GRADE	12th GRADE	Male	Female	Percent American Indian	Percent Asian	Percent Hispanic or Latino	Percent Black or African American	Percent White	Percent Multi - Racial	Level 1- 2 Performance	AVG 2-YR Level 1- 2 Performance	HS Level 1-2 Performance	Percent F&R	Percent ESL	Percent LEP	TITLE 1 PROGRAM	School Building Capacity	Special Need Programs Adjustment 	Optimum Mobile Units	Long-Range School Capacity	Actual Mobiles	Annual School Campus Capacity 2006	20th Day Actual Membership	Percent in Permanent Seats	Percent Crowding	SCHOOL BOARD DISTRICT	SCHOOL BOARD MEMBER	AREA SUPERINTENDENT DISTRICT	AREA SUPERINTENDENT NAME	Extra Teritorial Jurisdiction (ETJ)
466	Knightdale High	Traditional	Standard	.9-11	H	T	1616										568	411	373	264	807	809	0.5%	1.7%	12.4%	47.9%	34.5%	3.0%			5.7%	33.7%	4.7%	6.7%	NO	1663	0	6	1807	0	1663	1616	102.9%	97.2%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Knightdale
468	Lacy Elementary	Traditional	Standard	KI-5	E	T	697	129	115	126	107	119	101								378	319	0.0%	5.9%	8.3%	9.9%	74.2%	1.7%	4.5%	4.8%		23.4%	6.2%	8.6%	NO	471	23	3	563	8	678	697	70.9%	102.8%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
469	Leesville Road Elementary	Traditional	Standard	KI-5	E	T	902	142	151	159	141	150	159								462	440	0.1%	7.4%	3.4%	15.6%	67.5%	5.9%	4.1%	5.5%		14.3%	0.0%	2.4%	NO	540	9	7	710	19	986	902	60.9%	91.5%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Raleigh
470	Lead Mine Elementary	Traditional	Standard	KI-5	E	T	587	118	106	95	90	94	84								288	299	0.3%	3.6%	7.7%	31.7%	50.4%	6.3%	5.4%	7.5%		35.1%	5.3%	8.0%	YES	540	-2	2	584	1	561	587	91.7%	104.6%	District 7 (West Raleigh)	Patti Head	Northern Wake County	Ann Hooker	Raleigh
471	Leesville Road Middle	Traditional	Standard	.6-8	M	T	1266							385	430	451					647	619	0.3%	5.7%	6.3%	25.4%	58.1%	4.2%	6.0%	6.2%		22.0%	0.0%	2.1%	NO	799	-10	3	867	16	1205	1266	62.3%	105.1%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Raleigh
472	Ligon Middle	Magnet	G/T Magnet	.6-8	M	M	1082							380	357	345					549	533	0.0%	14.5%	1.8%	32.9%	47.2%	3.5%	6.1%	6.5%		23.9%	0.0%	1.1%	NO	981	51	0	1032	3	1110	1082	95.4%	97.5%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
473	Leesville Road High	Traditional	Large High School	.9-12	H	T	2355										670	624	542	519	1153	1202	0.2%	5.4%	6.5%	18.3%	67.2%	2.5%			2.8%	13.0%	2.6%	4.2%	NO	2079	0	0	2079	4	2175	2355	88.3%	108.3%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Raleigh
476	Lincoln Heights Elementary	Magnet	Community Model Magnet	KI-5	E	M	630	106	102	127	91	107	97								323	307	0.0%	1.0%	6.3%	23.5%	62.9%	6.3%	8.1%	10.4%		27.1%	0.0%	1.7%	NO	436	0	8	564	9	580	630	69.2%	108.6%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Fuquay-Varina
480	Lockhart Elementary	Traditional	Standard	KI-5	E	T	759	131	129	127	144	106	122								366	393	0.3%	1.7%	12.1%	40.1%	38.7%	7.1%	6.1%	6.5%		45.3%	4.3%	9.5%	YES	586	-69	4	609	16	885	759	68.1%	85.8%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Knightdale
484	Lufkin Road Middle	Year-Round	Standard Y-R	.6-8	M	Y-R	1066							363	340	363					535	531	0.1%	8.2%	7.9%	12.0%	68.1%	3.8%	4.8%	6.8%		13.5%	4.0%	5.4%	NO	1215	-140	0	1075	0	1075	1066	100.8%	99.2%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
488	Lynn Road Elementary	Traditional	Standard	KI-5	E	T	554	83	90	121	97	79	84								283	271	0.0%	4.5%	10.8%	35.4%	42.2%	7.0%	5.4%	9.0%		39.2%	5.8%	7.4%	YES	448	-20	0	428	6	566	554	77.3%	97.9%	District 6 (Central Raleigh)	Beverley Clark	Northern Wake County	Ann Hooker	Raleigh
492	Martin Middle	Magnet	G/T Magnet 	.6-8	M	M	1012							326	333	353					483	529	0.2%	7.8%	3.3%	21.2%	64.6%	2.9%	7.1%	7.5%		21.0%	0.0%	1.5%	NO	428	-10	6	574	21	964	1012	41.3%	105.0%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
494	Middle Creek Elementary	Traditional	Standard	KI-5	E	T	980	186	149	163	162	174	146								494	486	0.2%	3.5%	12.7%	18.1%	61.4%	4.2%	8.0%	7.1%		26.5%	4.6%	7.0%	NO	586	-2	0	584	16	952	980	59.6%	102.9%	District 5 (South Central Raleigh)	Susan Parry	Southern Wake County	Lloyd Y. Gardner	Cary
495	Middle Creek High	Traditional	Standard	.9-12	H	T	1909										494	388	545	482	960	949	0.3%	1.5%	8.5%	23.2%	64.4%	2.1%			5.1%	18.5%	3.5%	4.5%	NO	1639	-33	4	1702	10	1846	1909	84.1%	103.4%	District 5 (South Central Raleigh)	Susan Parry	Southern Wake County	Lloyd Y. Gardner	Cary
496	Millbrook Elementary	Magnet	International Baccalaureate	KI-5	E	M	748	143	131	116	124	120	114								390	358	0.1%	3.7%	23.1%	49.9%	17.6%	5.5%	18.8%	16.7%		58.3%	11.8%	21.7%	YES	753	-106	0	647	0	647	748	86.5%	115.6%	District 6 (Central Raleigh)	Beverley Clark	Northern Wake County	Ann Hooker	Raleigh
500	Millbrook High 	Traditional	Standard	.9-12	H	T	2246										779	519	475	473	1144	1102	0.2%	4.4%	13.1%	38.3%	41.7%	2.3%			6.0%	28.5%	5.5%	8.3%	NO	2079	-66	3	2085	16	2397	2246	89.6%	93.7%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
504	Morrisville Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	734	146	130	109	114	113	122								385	349	0.7%	21.8%	10.8%	7.5%	52.2%	7.1%	2.4%	1.8%		15.9%	8.6%	11.2%	NO	676	14	0	690	5	805	734	94.0%	91.2%	District 7 (West Raleigh)	Patti Head	Western Wake County	Kathryn Chontos	Morrisville
506	Moore Square Middle	Magnet (Modified)	Museums Magnet	.6-8	M	M	522							193	153	176					303	219	0.6%	0.6%	1.9%	56.3%	37.4%	3.3%	15.5%	14.5%		39.7%	0.0%	1.0%	NO	651	-105	0	546	0	546	522	104.6%	95.6%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
508	Mount Vernon School	Special/Optional	Mt. Vernon	.KI-8	E, M	S/O	58		5	2	5	11	9	2	10	14					45	13	0.0%	1.7%	3.4%	65.5%	22.4%	6.9%	17.9%	25.7%		74.1%	0.0%	3.4%	NO	110	0	0	110	1	120	58	189.7%	48.3%	District 6 (Central Raleigh)	Beverley Clark	South Central Wake County	Julye Mizelle	Raleigh
512	North Garner Middle	Magnet	International Baccalaureate 	.6-8	M	M	873							293	279	301					494	379	0.2%	0.2%	18.3%	48.0%	28.8%	4.5%	13.9%	14.9%		55.8%	5.7%	10.0%	NO	825	-53	0	772	5	902	873	88.4%	96.8%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
516	North Ridge Elementary	Traditional	Standard	KI-5	E	T	835	152	161	134	152	137	99								414	421	0.2%	3.0%	18.3%	21.4%	53.1%	4.0%	6.3%	5.2%		37.1%	13.4%	18.0%	YES	517	-66	7	612	13	750	835	54.0%	111.3%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
520	Northwoods Elementary	Traditional	Standard	KI-5	E	T	570	101	93	93	106	91	86								280	290	0.5%	7.4%	11.4%	21.9%	51.4%	7.4%	9.6%	7.9%		28.6%	13.9%	17.2%	NO	517	14	0	531	0	531	570	93.2%	107.3%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
522	Oak Grove Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	864	146	145	149	146	118	160								454	410	0.5%	8.7%	7.3%	6.9%	73.1%	3.5%	1.6%	2.0%		11.9%	5.7%	7.2%	NO	676	-9	2	713	5	782	864	77.2%	110.5%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Cary
523	Olive Chapel Elementary	Traditional	Standard	KI-5	E	T	925	186	154	132	163	163	127								505	420	0.1%	6.1%	3.6%	4.3%	81.3%	4.6%	3.3%	4.4%		6.3%	0.0%	3.0%	NO	563	46	8	793	14	931	925	65.8%	99.4%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
524	Olds Elementary	Magnet	University Connections	KI-5	E	M	344	50	59	63	56	49	67								184	160	0.3%	3.5%	2.6%	25.6%	61.9%	6.1%	4.8%	9.0%		23.0%	0.0%	1.7%	NO	219	23	0	242	0	242	344	70.3%	142.1%	District 5 (South Central Raleigh)	Susan Parry	Central Wake County	Jonibel Willis	Raleigh
525	Partnership Elementary	Magnet (Modified)	Partnership 	KI-5	E	M	318	53	51	52	58	47	57								157	161	0.0%	1.9%	0.9%	34.9%	55.7%	6.6%	11.4%	11.2%		18.9%	0.0%	0.0%	NO	306	-36	0	270	0	270	318	84.9%	117.8%	District 5 (South Central Raleigh)	Susan Parry	Central Wake County	Jonibel Willis	Raleigh
526	Panther Creek High 	Traditional	Standard	.9-10	H	T	893										527	366			446	447	0.1%	10.4%	5.5%	15.9%	64.5%	3.6%				11.5%	2.6%	3.2%	NO	1663	0	0	1663	0	1663	893	186.2%	53.7%	District 8 (South Wake)	Ron Margiotta	Western Wake County	Kathryn Chontos	Cary
528	Phillips High School	Special/Optional	Mary E. Phillips	.9-12	H	S/O	180										42	56	21	61	54	126	0.6%	0.6%	2.2%	89.4%	2.8%	4.4%			14.6%	56.7%	0.0%	0.6%	NO	144	0	0	144	0	144	180	80.0%	125.0%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
530	Penny Road Elementary	Traditional	Standard	KI-5	E	T	713	120	125	122	111	122	113								360	353	0.0%	3.2%	12.6%	16.3%	63.4%	4.5%	3.9%	4.7%		26.4%	9.1%	11.5%	NO	540	0	3	609	4	632	713	75.7%	112.8%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Cary
531	Pleasant Union Elementary	Traditional	Standard	KI-5	E	T	693	117	101	126	126	113	110								364	329	0.0%	1.6%	2.7%	13.6%	79.2%	2.9%	5.2%	4.4%		14.1%	0.0%	0.6%	NO	540	28	0	568	0	568	693	82.0%	122.0%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Wake County
532	Poe Elementary	Magnet	Montessori Magnet	KI-5	E	M	373	64	88	61	53	50	57								175	198	0.3%	5.4%	20.6%	37.0%	33.5%	3.2%	20.1%	16.6%		49.3%	14.7%	19.0%	YES	369	-30	0	339	0	339	373	90.9%	110.0%	District 4 (East Raleigh)	Rosa Gill	South Central Wake County	Julye Mizelle	Raleigh
536	Powell Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	473	74	74	71	71	98	85								218	255	0.0%	3.4%	4.2%	64.3%	23.9%	4.2%	14.8%	13.4%		52.6%	0.0%	1.3%	YES	431	-11	0	420	0	420	473	88.8%	112.6%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
540	Rand Road Elementary	Traditional	Standard	KI-5	E	T	737	127	137	131	118	118	106								388	349	0.0%	0.5%	13.8%	23.2%	57.0%	5.4%	6.2%	7.6%		34.9%	5.8%	7.3%	YES	540	-34	3	575	8	690	737	68.7%	106.8%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
542	Reedy Creek Elementary	Traditional	Standard	KI-5	E	T	576	110	108	101	82	82	93								289	287	0.2%	10.4%	16.0%	22.0%	45.5%	5.9%	11.0%	11.0%		38.2%	11.8%	18.8%	YES	609	-23	6	724	10	816	576	101.7%	70.6%	District 6 (Central Raleigh)	Beverley Clark	Western Wake County	Kathryn Chontos	Cary
544	Rolesville Elementary	Traditional	Standard	KI-5	E	T	596	119	101	80	103	111	82								272	324	0.5%	3.4%	6.9%	14.1%	69.8%	5.4%	6.7%	8.1%		22.0%	5.5%	6.9%	YES	494	0	0	494	9	701	596	82.9%	85.0%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Rolesville
548	Root Elementary	Magnet	Leadership Magnet 2	KI-5	E	M	465	77	79	76	81	69	83								232	233	0.0%	1.3%	5.6%	24.5%	66.2%	2.4%	10.9%	12.2%		27.1%	0.0%	4.5%	NO	311	0	5	426	5	426	465	66.9%	109.2%	District 6 (Central Raleigh)	Beverley Clark	Central Wake County	Jonibel Willis	Raleigh
550	Salem Elementary	Traditional	Standard	KI-5	E	T	769	117	157	121	134	124	116								396	373	0.7%	14.2%	8.7%	5.7%	65.0%	5.7%	5.5%	6.0%		15.7%	5.9%	10.8%	NO	586	23	4	701	8	793	769	79.2%	97.0%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
551	Salem Middle	Traditional	Standard	.6-8	M	T	1050							361	353	336					555	495	0.2%	8.4%	2.5%	6.3%	79.7%	3.0%	1.4%	2.3%		5.4%	0.0%	1.2%	NO	903	0	6	1059	2	955	1050	86.0%	109.9%	District 8 (South Wake)	Ron Margiotta	South Central Wake County	Julye Mizelle	Apex
552	Sanderson High	Traditional	Standard	.9-12	H	T	1977										649	498	391	439	979	998	0.1%	2.5%	8.3%	31.0%	55.3%	2.8%			6.0%	26.0%	4.2%	5.2%	NO	1735	-87	0	1648	10	1888	1977	83.4%	104.7%	District 6 (Central Raleigh)	Beverley Clark	Northern Wake County	Ann Hooker	Raleigh
560	Smith Elementary	Traditional	Standard	KI-5	E	T	464	79	78	77	74	84	72								245	219	0.0%	1.9%	21.3%	57.1%	16.2%	3.4%	15.1%	17.7%		69.4%	6.7%	12.1%	YES	517	-66	4	543	4	543	464	97.2%	85.5%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
562	Southeast Raleigh High	Magnet (Modified)	Accelerated Studies Magnet	.9-12	H	M	1945										523	463	494	465	1004	941	0.4%	2.4%	2.2%	61.7%	31.2%	2.1%			6.5%	25.2%	0.0%	0.5%	NO	1699	24	0	1723	15	2083	1945	88.6%	93.4%	District 4 (East Raleigh)	Rosa Gill	South Central Wake County	Julye Mizelle	Raleigh
564	Stough Elementary	Traditional	Standard	KI-5	E	T	515	92	93	96	76	86	72								264	251	0.0%	7.4%	16.5%	29.3%	41.7%	5.0%	9.0%	10.6%		41.0%	13.0%	21.2%	YES	402	-20	3	451	10	612	515	74.2%	84.2%	District 7 (West Raleigh)	Patti Head	Central Wake County	Jonibel Willis	Raleigh
568	Swift Creek Elementary	Traditional	Standard	KI-5	E	T	538	101	105	83	87	102	60								262	276	0.4%	3.0%	5.0%	39.8%	47.4%	4.5%	12.2%	11.4%		38.5%	0.0%	4.5%	YES	448	49	0	497	2	543	538	92.4%	99.1%	District 5 (South Central Raleigh)	Susan Parry	South Central Wake County	Julye Mizelle	Wake County
570	Timber Drive Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	931	140	147	156	155	157	176								488	443	0.4%	0.9%	12.5%	22.1%	60.9%	3.2%	9.4%	9.0%		30.1%	7.6%	9.5%	NO	699	21	3	789	9	927	931	77.3%	100.4%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
571	Turner Creek Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	821	141	160	158	126	139	97								419	402	0.4%	6.3%	4.5%	8.4%	75.5%	4.9%	3.5%	3.1%		10.0%	0.0%	1.6%	NO	745	0	4	837	0	745	821	90.7%	110.2%	District 8 (South Wake)	Ron Margiotta	Western Wake County	Kathryn Chontos	Cary
572	Underwood Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	483	78	78	88	89	81	69								243	240	0.6%	5.8%	2.5%	35.0%	52.4%	3.7%	10.3%	11.8%		30.2%	0.0%	2.5%	YES	426	-48	0	378	0	378	483	78.3%	127.8%	District 5 (South Central Raleigh)	Susan Parry	Central Wake County	Jonibel Willis	Raleigh
576	Vance Elementary	Traditional	Standard	KI-5	E	T	452	69	94	83	70	69	67								235	217	0.4%	1.3%	12.4%	17.5%	64.4%	4.0%	11.6%	100.0%		25.4%	5.3%	9.7%	YES	379	37	0	416	6	554	452	92.0%	81.6%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Wake County
580	Vandora Springs Elementary	Traditional	Standard	KI-5	E	T	583	124	103	96	100	89	71								292	291	0.2%	1.5%	18.4%	41.2%	35.0%	3.8%	9.1%	10.3%		51.8%	8.7%	15.4%	YES	517	-46	2	517	4	563	583	80.8%	103.6%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Garner
583	Wake Early College of Health and Science	Magnet	Wake Early	.9-9	H	M	97										97				33	64	0.0%	4.1%	6.2%	41.2%	42.3%	6.2%				26.8%	0.0%	4.1%	NO	96	0	0	96	0	96	97	99.0%	101.0%	District 4 (East Raleigh)	Rosa Gill	South Central Wake County	Julye Mizelle	Raleigh
584	Wake Forest Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	712	138	145	106	121	107	95								366	346	0.4%	2.2%	3.5%	10.4%	79.2%	4.2%	7.4%	7.5%		14.3%	0.0%	1.3%	NO	569	81	0	650	0	650	712	91.3%	109.5%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake Forest
588	Wake Forest-Rolesville High	Traditional	Standard	.9-12	H	T	1881										479	506	470	426	892	989	0.2%	1.6%	3.6%	19.6%	72.2%	2.8%			5.0%	12.9%	0.0%	0.6%	NO	1615	0	0	1615	8	1807	1881	85.9%	104.1%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake Forest
592	Wake Forest-Rolesville Middle	Traditional	Standard	.6-8	M	T	1138							375	406	357					566	572	0.4%	2.8%	10.8%	29.6%	53.4%	2.9%	11.5%	10.3%		30.3%	0.0%	4.6%	NO	851	0	0	851	11	1137	1138	74.8%	100.1%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake Forest
593	Wakefield Elementary	Traditional	Standard	KI-5	E	T	1109	168	172	201	199	191	178								539	570	0.4%	5.1%	11.6%	13.3%	65.9%	3.7%	9.9%	7.9%		18.6%	8.6%	9.6%	NO	563	-14	8	733	20	1009	1109	49.5%	109.9%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
594	Wakefield Middle	Traditional	Standard	.6-8	M	T	1289							411	441	437					669	620	0.3%	4.2%	5.4%	17.9%	69.0%	3.3%	3.0%	3.9%		15.1%	0.0%	2.3%	NO	903	42	0	945	13	1283	1289	73.3%	100.5%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
595	Wakefield High	Traditional	Standard	.9-12	H	T	2372										732	617	569	454	1175	1197	0.2%	4.6%	7.5%	25.1%	59.4%	3.2%			3.5%	16.2%	4.2%	6.3%	NO	1591	-12	4	1675	31	2323	2372	66.6%	102.1%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
596	Washington Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	577	102	93	93	96	86	107								306	271	0.3%	11.1%	5.2%	33.3%	46.8%	3.3%	4.1%	3.0%		31.0%	0.0%	2.1%	NO	546	9	0	555	0	555	577	96.2%	104.0%	District 4 (East Raleigh)	Rosa Gill	South Central Wake County	Julye Mizelle	Raleigh
597	Wakelon Elementary 	Traditional	Modular	KI-5	E	T	371	64	47	71	47	80	62								201	170	0.0%	1.1%	22.1%	46.1%	25.9%	4.9%	18.8%	18.8%		71.7%	14.3%	18.1%	YES	0	0	0	0	32	471	371	0.0%	78.8%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Zebulon
598	Weatherstone Elementary	Traditional	Standard	KI-5	E	T	832	137	147	149	136	133	130								393	439	0.2%	10.2%	9.5%	16.3%	60.0%	3.7%	8.4%	8.5%		23.2%	9.5%	13.3%	NO	563	-20	8	727	13	842	832	65.3%	98.8%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
600	Wendell Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	556	82	114	71	87	111	91								283	273	0.2%	0.7%	15.6%	32.0%	46.9%	4.5%	6.4%	10.1%		46.6%	5.4%	8.1%	YES	454	-46	0	408	2	454	556	73.4%	122.5%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wendell
604	West Cary Middle	Traditional	Standard	.6-8	M	T	1119							364	394	361					559	560	0.4%	12.4%	6.1%	23.9%	52.7%	4.4%	6.6%	6.6%		22.3%	2.3%	5.4%	NO	877	-19	0	858	6	1014	1119	76.7%	110.4%	District 9 (Western Wake)	Eleanor Goettee	Western Wake County	Kathryn Chontos	Cary
606	West Lake Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	1076	165	175	174	180	163	219								571	505	0.4%	1.6%	14.8%	11.0%	69.0%	3.3%	7.8%	7.7%		21.8%	9.1%	11.6%	NO	676	-39	4	729	14	959	1076	59.2%	112.2%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Cary
607	West Lake Middle	Year-Round	Standard Y/R	.6-8	M	Y-R	1336							458	448	430					674	662	0.4%	2.3%	6.9%	17.0%	71.2%	2.2%	3.8%	3.8%		16.3%	3.2%	4.2%	NO	1189	-97	0	1092	12	1404	1336	81.7%	95.2%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Cary
608	West Millbrook Middle	Traditional	Standard	.6-8	M	T	1087							347	357	383					557	530	0.1%	1.9%	12.6%	33.9%	48.8%	2.8%	16.3%	15.7%		37.3%	7.5%	10.0%	NO	955	-114	3	919	8	1049	1087	77.4%	103.6%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
616	Wilburn Elementary	Year-Round	Standard Y/R	KI-5	E	Y-R	974	171	177	158	168	168	132								497	477	0.0%	5.5%	22.3%	50.6%	15.1%	6.5%	18.7%	16.2%		60.9%	10.7%	16.2%	YES	699	-170	3	598	13	828	974	54.3%	117.6%	District 4 (East Raleigh)	Rosa Gill	Central Wake County	Jonibel Willis	Raleigh
618	Wildwood Forest Elementary	Traditional	Standard	KI-5	E	T	852	148	162	150	144	131	117								431	421	0.4%	3.3%	5.6%	38.8%	45.3%	6.6%	10.1%	11.3%		32.4%	0.0%	2.6%	NO	563	32	6	733	16	963	852	69.8%	88.5%	District 3 (North Raleigh)	Carol Parker	Northern Wake County	Ann Hooker	Raleigh
620	Wiley Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	399	79	71	68	61	67	53								194	205	0.0%	6.8%	22.1%	14.5%	50.9%	5.8%	16.4%	16.4%		35.6%	19.8%	23.3%	YES	339	0	0	339	0	339	399	85.0%	117.7%	District 5 (South Central Raleigh)	Susan Parry	Central Wake County	Jonibel Willis	Raleigh
624	Willow Springs Elementary	Traditional	Standard	KI-5	E	T	897	166	174	146	154	127	130								435	462	0.3%	1.0%	15.3%	10.3%	67.6%	5.6%	7.0%	7.8%		33.2%	5.5%	8.4%	YES	471	-9	0	462	16	830	897	51.5%	108.1%	District 2 (Southeast Wake)	Horace Tart	Southern Wake County	Lloyd Y. Gardner	Wake County
626	Yates Mill Elementary	Traditional	Standard	KI-5	E	T	607	116	99	101	108	88	95								288	319	0.3%	1.8%	17.6%	21.6%	55.2%	3.5%	8.7%	8.4%		40.0%	9.4%	14.3%	YES	586	-32	0	554	0	554	607	91.3%	109.6%	District 5 (South Central Raleigh)	Susan Parry	South Central Wake County	Julye Mizelle	Wake County
628	York Elementary	Traditional	Standard	KI-5	E	T	577	108	108	107	87	76	91								271	306	0.3%	2.4%	22.0%	31.4%	37.3%	6.6%	6.0%	7.4%		47.7%	9.5%	19.2%	YES	494	-34	2	506	4	552	577	79.7%	104.5%	District 7 (West Raleigh)	Patti Head	Northern Wake County	Ann Hooker	Raleigh
632	Zebulon Elementary	Magnet	GT/Global/Int'l Magnet	KI-5	E	M	500	70	84	84	99	86	77								261	239	0.2%	0.6%	17.2%	31.2%	46.4%	4.4%	7.6%	11.4%		54.8%	5.8%	11.8%	YES	569	-88	4	573	11	734	500	96.2%	68.1%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Zebulon
636	Zebulon Middle	Magnet	G/T Magnet	.6-8	M	M	1008							340	341	327					531	477	0.3%	0.6%	13.9%	40.0%	40.4%	4.9%	16.1%	15.4%		52.0%	3.0%	6.4%	NO	825	-114	2	763	8	919	1008	70.5%	109.7%	District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Zebulon
700	East Wake High School of Health Science	Traditional	Standard ( @East Wake High)	.9-12	H	T	373										100	100	91	82	120	253	0.5%	0.5%	9.7%	36.7%	51.5%	1.1%			9.2%	33.8%	1.6%	2.4%	NO	 ( @East Wake High)									District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake County
701	East Wake School of Integrated Technology	Traditional	Standard ( @East Wake High)	.9-12	H	T	244										116	83	45		150	94	0.0%	1.6%	12.3%	41.8%	41.8%	2.5%				42.6%	4.5%	7.0%	NO	 ( @East Wake High)									District 1 (North and East Wake)	Lori Millberg	Eastern Wake County	Danny Barnes	Wake County
	Total District						128072	11098	11073	10410	10218	10011	9585	9627	9685	9719	11231	9418	8359	7638	64797	63275	0.3%	5.0%	10.2%	26.8%	53.8%	3.9%				28.2%	4.7%	5.8%	50 schools	106812	-3668	267	109379	1108	128477	128072	80.5%	99.7%					
